uuid,female,male,other,skip,total
132d7d8d-889c-465f-91ee-c155d902322f,0,0,0,1,1
1d9a2918-fc15-48c4-b8ac-6b91025475b8,0,0,1,0,1
1f2edafc-17aa-4a8e-bd82-7c163f4def77,0,1,0,0,1
31e0feff-deb5-4e96-9c59-6e3c38ceb6a9,0,1,0,0,1
3f731faf-cf45-4a5b-9efc-38b748b18ac2,0,1,0,0,1
40981a1b-0f58-4a5a-be2c-e84b4c0ab93f,0,1,0,0,1
431889cc-14eb-44cf-a735-83bf97471c0c,0,0,1,0,1
48bdc8fa-1ff1-43b0-8128-d7124d600bd2,0,1,0,0,1
573ce354-14ff-479b-92d7-89e911597020,0,1,0,0,1
59aeb6f7-317c-48c8-aeb5-08056449ed62,0,1,0,0,1
5f45f45a-db70-4478-ab91-ebbb62c5efd0,0,1,0,0,1
625b203e-49fc-4c41-8775-52dffcf5a787,0,1,0,0,1
67df44da-cf3c-44f8-a560-f044d77c3676,0,0,0,1,1
6a4ce4d8-97ab-4bfb-8eac-e6df7bf5ee3f,0,1,0,0,1
82f890e4-7070-427e-be51-ab5e7ad4a491,0,0,0,1,1
834b3262-e9fe-4c25-97eb-7c097da234dd,0,1,0,0,1
869f2af1-6f5e-40de-b798-c28c7365f1b8,0,0,0,1,1
87dd1f38-d4f2-4d27-b170-267625b2a58e,0,0,0,1,1
9729b65a-3d3b-4da6-95ba-287097f3f500,0,1,0,0,1
a2030436-542e-49a5-88db-13910364e021,0,1,0,0,1
af401976-ed49-4f90-9350-470554fae575,0,1,0,0,1
b8efa273-9a4c-4afa-ad2b-2a8512c85bd2,0,1,0,0,1
c05a2f40-64b0-4437-9558-2766320b489a,0,1,0,0,1
c5d2a3c3-2a65-4fff-8314-4b69ec500b44,0,1,0,0,1
d02a5d7a-863c-46f6-8f34-464f3d6ff8bf,0,0,1,0,1
d73798ad-fb96-4526-8d9e-ba98deed2362,0,1,0,0,1
e5a0706d-c1c7-4c1d-87c4-7720aa77a682,0,2,0,0,2
e5c19e0a-d787-4896-83a1-c242531e197c,0,1,0,0,1
fa2cb780-5c0e-472f-b06e-708af74e7ef7,0,1,0,0,1
