id,wikidata
likud,Q187009
alignment,Q2579409
israel_labor_party,Q210703
national_religious_party,Q1501088
shas,Q904635
kadima,Q39655
herut_movement,Q1070487
herut_-_national_movement,Q2916522
yisrael_beitenu,Q514442
agudat_yisrael,Q398134
meretz,Q239951
hadash,Q339706
general_zionists,Q1887828
ahdut_ha`avoda_-_poalei_zion,Q1968280
yesh_atid,Q622716
united_torah_judaism,Q1466053
independent_liberals,Q2915434
united_religious_front,Q2915667
progressive_party,Q2575617
liberal_party_of_israel,Q2575588
poalei_agudat_yisrael,Q2915662
"joint_list_(hadash,_raam,_balad,_taal)",Q18913555
tehiya,Q607487
shinui_-_center_party,Q1500739
kulanu_chaired_by_moshe_kahlon,Q18618867
rafi,Q2915113
tzomet,Q2679208
civil_rights_movement,Q2920002
yisrael_be`aliyah,Q2453578
secular_faction,Q2358538
free_center,Q2635069
gesher,Q2891023
right_israel,Q2919646
black_panthers,Q2738551
wizo,Q1657077
jewish-arab_brotherhood,Q6190166
meretz-yahad,Q239951
the_right_way,Q7760772
tekuma,Q2665610
am_ehad,Q451237
democratic_list_for_israeli_arabs,Q2916428
moledet,Q1780708
movement_for_the_renewal_of_social_zionism,Q2776397
habayit_haleumi,Q5636365
tehiya-bnai,Q607487
labor-meimad,Q12410184
