id,position,label,description,start_date,end_date,constituency,term,election,replaces,replaced_by
Q11040220,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,New Territories West,6th Legislative Council of Hong Kong,2016 Hong Kong legislative election,,
Q12140214,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,13th National Committee of the Chinese People's Political Consultative Conference,,,
Q13634462,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,,,,
Q13642421,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,Labour,,,,
Q13642421,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,Hong Kong Island,,,,
Q14476291,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,Labour,,,,
Q1522171,Q10891456,member of the National People's Congress,member of Chinese National People's Congress,"",,Hong Kong,13th National People's Congress,,,
Q1522171,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,Commercial (Second),,,,
Q1522364,Q10891456,member of the National People's Congress,member of Chinese National People's Congress,"",,Hong Kong,13th National People's Congress,,,
Q1522364,Q13416334,member of the Provisional Legislative Council,"","",,,,,,
Q1522364,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2004-09-30,Election Committee,,,,
Q1522364,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,Finance,,,,
Q1548856,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,District Council (Second),6th Legislative Council of Hong Kong,2016 Hong Kong legislative election,,
Q15940901,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,District Council (Second),6th Legislative Council of Hong Kong,2016 Hong Kong legislative election,,
Q163404,Q13416334,member of the Provisional Legislative Council,"",1996-12-21,1998-06-30,,,,,
Q163404,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2008-09-30,Kowloon West,,,,
Q163404,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,2016-09-30,Hong Kong Island,,,,
Q163404,Q3068969,President of the Legislative Council of Hong Kong,oh ok,2008-10-08,2016-09-30,,,,Rita Fan,Andrew Leung
Q163404,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,11th National Committee of the Chinese People's Political Consultative Conference,,,
Q19825791,Q53913929,Central and Western District councilor,"",2016-01-01,,Chung Wan,5th Council in Central and Western District,2015 Hong Kong local elections,,
Q19853850,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,New Territories West,6th Legislative Council of Hong Kong,2016 Hong Kong legislative election,,
Q200501,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2000-10-01,2012-09-30,Kowloon West,,,,
Q200501,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,District Council (Second),,,,
Q200518,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2004-10-01,2010-01-28,Kowloon East,,,,
Q200518,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2010-05-17,2016-09-30,Kowloon East,,,,
Q20065300,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,12th National Committee of the Chinese People's Political Consultative Conference,,,
Q20091635,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,"",,,6th Legislative Council of Hong Kong,,,
Q23626,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2012-09-30,New Territories West,,,,
Q23626,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,2016-09-30,District Council (Second),,,,
Q23641,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,1998-07-01,2016-09-30,New Territories West,,,,
Q23888559,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,2017-07-14,Kowloon West,6th Legislative Council of Hong Kong,,,Chan Hoi-yan
Q25936133,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,New Territories East,,,,
Q26211043,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q26251804,Q329455,justice of the peace,"judicial officer, of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace","",,,,,,
Q26703335,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,Finance,,,Ng Leung-sing,
Q26806626,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2016-10-01,,Medical,,,Leung Ka-lau,
Q3040547,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,Kowloon West,,,,
Q3040547,Q51078983,member of the National Committee of the Chinese People's Political Consultative Conference,"","",,,11th National Committee of the Chinese People's Political Consultative Conference,,,
Q3051666,Q10891456,member of the National People's Congress,member of Chinese National People's Congress,"",,Hong Kong,13th National People's Congress,,,
Q3051666,Q13416334,member of the Provisional Legislative Council,"","",,,,,,
Q3051666,Q4603574,deputy of Hong Kong to the National People's Congress,"","",,,,,,
Q3479098,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2008-10-01,2012-09-30,Tourism,,,,
Q3479098,Q27908372,member of the Legislative Council of Hong Kong,member of the Hong Kong legislature,2012-10-01,,Kowloon East,,,,
