id,uuid
east_makira,429239f3-cfac-40df-a50e-cdbbc8545765
east_are_are,4b9c00db-22a2-47d3-95cb-4dc3d1249169
ngella,453318ea-0c85-46df-a98e-9f8153eb83f7
east_guadalcanal,80330084-2315-4a95-a1a6-f26d6e0c6e57
rannogga/simbo,fa7e28a2-511d-45f3-b96a-45067cde2c6f
shortlands,47e0297a-8240-4b1d-a0aa-3de48674e660
temotu_nende,8b089aff-403f-41d8-afe8-9f74e05e40b1
north_west_choiseul,6f1fee36-767d-4071-93cb-eef15e3461e2
maringe/kokota,1f868aaf-1d38-4338-82b7-c16528c58e27
south_new_georgia_r_&t,632a108a-9f8f-4c82-b7b8-62d29fbd611d
baegu/asifola,dace35b7-a765-4e7f-a375-6ecdd3851e78
south_guadalcanal,fd4c22ef-167a-4f2d-8f6a-e41fc929da27
west_makira,c06d75eb-7a68-42ff-a4d6-2efcc31841b2
north_east_guadalcanal,32a29f55-ecbb-4031-be9c-4d80c87ebc04
north_west_guadalcanal,170e01d0-5ad8-4d1e-b681-11604da951cc
russells_and_savo,94cb926d-1211-4082-97d0-ffc72330f488
east_honiara,dc84791e-d6c4-4644-ab10-0c8a2e712e5a
temotu_pele,a3d85e9b-48e9-4966-a657-f8a351649543
south_choiseul,78727faa-75d6-40c0-a5ab-fd292d9d8bee
temotu_vatud,6541b155-6600-4583-98d5-a6331f7fb7df
east_central_guadalcanal,4f2b11f2-f24b-4198-9b1c-cb30601f2b10
central_kwara'ae,11941c32-2f6b-4dc5-96e0-7447f98fea8f
hograno/kia/havulei,b2d940c8-df04-4c69-a30e-c251d7b187f8
north_malaita,afe38ef5-5eb3-4d80-89ee-91a870c84444
gizo/kolombangara,a4fab6dd-5637-4f73-8c20-c55828a853f8
north_new_georgia,1731c22e-f5db-42fa-996c-ddbebdb0aac9
west_are_are,94d06d0f-37a7-40a5-9fdc-07a8fbfc286f
central_honiara,a13a78b8-ee45-489d-8268-5c6311cb9b38
lau/mbaelelea,aad0c009-c843-49f1-a077-c3e570e620fb
east_choiseul,420ab6af-c5ce-4b0e-aefb-fa635853fd10
east_malaita,cc047419-f37b-4f8d-8707-1ce705b26a16
malaita_outer_islands,33d59ee2-0e6e-4197-abb7-8e5532288481
aoke_langalanga,a7ce1eec-7791-4a85-b411-0b5bc5689edc
north_vella_la_vella,4397080b-cf6f-41e5-809d-7020affd8acf
west_guadalcanal,02e44197-908e-4db7-8712-59ef2fd2e4cc
west_honiara,0a3c19a3-bb62-499c-965e-2248afac6c6a
central_makira,3be244f3-2112-4e50-9817-c52c43a09888
central_guadalcanal,ebf8544e-19fb-4069-9987-054ace9929f0
west_kwaio,26068ac4-209e-4d51-bd58-12f458a127b1
south_vella_la_vella,c835a1e2-5213-4ab1-8f48-cbe40c5cb0f1
small_malaita,fab68525-60bc-4870-a0ff-bcfe47201c2d
west_kwara'ae,c1321d8e-db60-477f-892f-e89dd3f10c29
gao/bogotu,1924e4a8-2bb8-4c9a-9e36-7168afb952ed
north_guadalcanal,536dbe5a-359e-439b-961d-406cae3e48d1
west_new_georgia_-_vona_vona,7ad4bd81-b0d5-45bd-b634-679b26b1b7d7
marovo,56429604-ea5a-4c6d-bfa2-d7529330ade0
east_kwaio,d646a431-325d-4931-9fbd-7817954c65b5
fataleka,0b693b6c-c2ea-4286-bcfd-4d9e615ee742
rennell-bellona,a3b0987b-a75e-40a1-a267-411e7c688608
ulawa/ugi,6f9f4db5-91db-4fcd-a6cf-00c526023e01
