uuid,female,male,other,skip,total
001941b4-c6ae-41d8-beb7-282073d6d805,2,0,0,0,2
0175fcd2-4a03-42ee-9cb9-ea444a773c59,0,1,0,0,1
02d02fc9-11ed-4e38-9975-7b7004fba8ca,1,0,0,0,1
05c882d3-0a79-45f8-a043-5e66e807b9b2,0,2,0,0,2
0a193b3b-b90c-448e-ac72-218bc389f41d,0,2,0,0,2
0a872cb4-7d19-4433-b663-5734caa947dc,2,0,0,0,2
0e608190-eaa9-4d84-afe6-9aa534d4c7b8,0,1,0,0,1
125adad2-a6c9-4677-880f-bcd9de2ec8a6,0,1,0,0,1
1c3843a1-73b2-459d-8bd2-702091871475,0,1,0,0,1
22e48f48-c389-44ce-bfa0-fa364f7e559f,0,1,0,0,1
294d2809-9f05-429f-bfe9-5f25841348f6,0,2,0,0,2
2ec71baa-e817-4aaa-9035-d1a936b8213c,0,1,0,0,1
311445d2-6f02-4c91-a939-d21e4b762164,0,2,0,0,2
390020f9-5b45-4e03-a5d5-ee05b4f59d39,0,1,1,0,2
3d4e5cd0-2eef-4e87-8bfa-b68cd43ee7b9,0,1,0,0,1
410c5b3d-70d5-4d3a-a802-351fa416e7c2,0,2,0,0,2
42a0a612-4f52-4f2b-9d68-5fd89b383d25,0,2,0,0,2
45e22e23-8a56-4895-8964-45350a3f9ce3,0,1,0,0,1
470c8da3-3d25-40b2-9d00-ea68a3d2effa,0,1,0,0,1
49152d54-6c0b-4b75-a89f-5298e279e4de,0,1,0,0,1
4a4c1eab-afa3-44f2-8a54-0aff96fd67d3,2,0,0,0,2
4d2d100a-c8f2-45a1-a7bc-f21049030f65,0,2,0,0,2
4e3b66cb-2217-4047-b53f-3ec2f4f50d9b,0,2,0,0,2
4f74a204-b526-4f10-bbcc-61eae0705fbb,0,1,0,0,1
5182068e-7666-421b-b005-da3052c7a682,0,1,0,0,1
54db53b9-cda4-4ab5-90d5-943fdd74c148,0,1,0,0,1
55d667a8-a479-4ba2-973e-ebb5ab22f100,2,0,0,0,2
5b18694a-d364-41a9-a010-84bc87af9bda,0,1,0,0,1
5b4aa06e-bacb-4f29-a0aa-d6b58005ac33,0,2,0,0,2
5c4d45e0-c064-4a45-8db6-f14ed36f077e,0,2,0,0,2
5e4e0761-edb2-45a1-9cd6-ab3c6ddb9695,0,1,0,0,1
61ce207d-93a9-4e93-839a-aefe27883dee,0,1,0,0,1
6616e866-c5a6-4dca-82a5-405eaf57fba7,0,1,0,0,1
689ce0bb-e6c2-42b3-812e-8b400474f5ca,0,1,0,0,1
70fdbcd3-034e-4c05-a6e5-ed6c0bda2f32,0,1,0,0,1
714abcba-742f-4b8b-bbfa-e0113b527b0e,0,2,0,0,2
71dfe05e-c8cd-4e57-8f21-378c4082fef7,1,0,0,0,1
79647f86-711b-4d1a-9e16-ec98c7b42301,0,1,0,0,1
83d4b0d4-4daa-43a4-b721-6eff1f74206e,0,1,0,0,1
8bcbd6e7-1888-42cb-bed3-8947283ad58a,0,1,0,0,1
97a9c14b-b201-497f-b1ea-3701a85cf389,0,1,0,0,1
9cc765c7-ff54-4a3b-a063-04280c2be891,0,2,0,0,2
a328083e-0145-46e6-b4ba-724709ec2c1f,0,1,0,0,1
a5a50ea3-e866-4e81-b012-a5beb8361f68,0,1,0,0,1
a64f49b3-ae13-4324-a123-61bda2406d43,0,1,0,0,1
aa949464-85c9-4f84-b135-bf3137c95c69,0,1,0,0,1
abc4d133-4201-4bde-8b95-3e2cf1ba0573,0,1,0,0,1
ac7001f2-1318-4c7b-8579-2c3f6102ac30,0,1,0,0,1
b0e4c5d6-02c2-4e76-abf4-e4bdeba7c498,0,1,0,0,1
b58b9611-c11b-4ff7-a0c5-1ee0afec3787,0,1,0,0,1
ba52377b-a522-42bb-83fb-4394cb70b52b,0,2,0,0,2
c030105f-0f3e-4bd3-b661-3824ee760195,1,1,0,0,2
c17c5661-f756-4ba1-9459-7ea25576e737,0,2,0,0,2
c3b952f0-aa27-472a-9d14-cc1138e47b63,0,2,0,0,2
c5e3ca9c-55f3-4fce-92ec-3249ea9d6697,0,1,0,0,1
c6ad5043-bfed-43ab-a71d-2eddfaa69459,1,0,0,0,1
cc8f026b-2873-4a5d-8e21-19df68b9b29c,0,2,0,0,2
d231c681-64bf-4574-bc89-f1c1554942e7,2,0,0,0,2
d3d09755-a19c-4814-a170-abaf85167a67,0,2,0,0,2
dd2443f9-911c-43f4-ac4a-a331b41d7e5e,0,2,0,0,2
de40b558-1ae7-4fc4-a646-53ebb6d3b4a8,0,1,0,0,1
eadd78df-d9dc-401b-944e-326ae86b3170,0,2,0,0,2
ee0ae193-13c6-43d4-9b4e-4bddd56cba19,0,1,0,0,1
f1d12d0a-0acf-4c94-b76a-35a3847c8332,0,1,0,0,1
f2cfa609-94ec-475e-a1c9-4397a1f1bfd0,0,2,0,0,2
f82c4c6a-0867-49a9-9097-6d8e1d877ff8,1,0,0,0,1
fae66e02-38a4-4cfa-beda-9e3674e8dcbc,2,0,0,0,2
fe656789-81da-4012-b08c-212b99b3a007,0,1,0,0,1
