uuid,female,male,other,skip,total
009d88ec-1b4d-4103-b559-2ecab81288ff,0,2,0,0,2
05a2a87d-ee56-43d2-b41e-539d379ca72c,0,2,0,0,2
05ff929b-1fe2-4e14-8100-be3f2ffc0322,0,2,0,0,2
0adb0d6f-6830-4769-9578-af7dc2a10674,0,2,0,0,2
0c77003a-fd6c-4d4b-b3b3-4ebf67b38c0a,0,2,0,0,2
10ba04a8-2bb3-4136-a193-f270d464ad68,0,2,0,0,2
13fc26ea-e633-446c-a528-2c27e0563d94,0,2,0,0,2
22b7af92-6589-4949-9f08-67fdabad735b,2,0,0,0,2
24f3d11f-a4d7-4ca4-9297-64aab80adf0f,0,2,0,0,2
318bedd5-4813-4243-a06c-415536a8394d,2,0,0,0,2
34aec198-6b42-4ec0-a402-70ef08060b9e,0,2,0,0,2
3b83a9e5-bb97-48c4-81ed-643e98107a44,2,0,0,0,2
3d06d2c3-f20d-473b-8910-405858bd088e,2,0,0,0,2
422e247f-da06-4107-a0ce-0450912786f7,2,0,0,0,2
42ee656b-29d3-4ba2-ad61-e4fc71d71b51,0,2,0,0,2
4318c908-fa08-4a61-9bdd-96aa0c9ac7b2,0,2,0,0,2
434e2838-fead-49cd-ae23-6b9a2ec55498,0,2,0,0,2
463ca872-b9a8-40a2-b088-c596e247526c,0,2,0,0,2
4ac67f43-a876-4071-a8f7-745da51af7b5,0,2,0,0,2
4bb6e770-767a-42b3-904b-441d652602d1,0,2,0,0,2
4d3d8e0d-e157-472e-b715-ccd4193a2425,0,2,0,0,2
50f859e8-ccb2-4dfa-8cc4-6439bf5a9856,0,2,0,0,2
55c65981-4217-43b9-9924-52fe91cd5cde,2,0,0,0,2
5c073339-4ca5-4f77-bc42-41c1cff2410e,0,2,0,0,2
5c8ad46d-d0c4-4f37-a3ce-0f2ea07ff360,0,2,0,0,2
63889db0-8804-494f-91d3-d2dc54214818,2,0,0,0,2
660f3157-5dbd-490e-938b-9568e1b17e70,2,0,0,0,2
67b41a05-79a7-4573-b998-5636841ed6ee,0,2,0,0,2
695fd465-0d21-40fc-ae62-d16b399caf91,0,2,0,0,2
6bb054d2-2fa9-4f24-a08a-b480b26c1269,0,2,0,0,2
6bde19e3-7250-44f5-a9c2-5dbd4d8de291,0,2,0,0,2
6cef55e3-0771-46fb-82c8-e37d837f58cd,2,0,0,0,2
6d7cbf5e-8dc7-492e-9fdf-a379d7783e80,0,2,0,0,2
7644325a-48ca-4e7f-927a-58fe3b6e39a1,0,2,0,0,2
79dd260e-1bac-4593-bd42-a2811a814984,2,0,0,0,2
8462087a-bc6d-48ba-b5b1-080d2983e9f1,0,2,0,0,2
903f537a-b134-4782-9da8-3332a9da47dd,0,2,0,0,2
97edfb09-6085-43ba-9d54-6d2a585521c0,2,0,0,0,2
98595f50-2c57-4cd2-a52a-3d838dbfa924,0,2,0,0,2
9db208e3-9e01-4737-b82c-7b9ed0ae55c3,0,2,0,0,2
a20f0ccb-70e9-4d86-93ff-3ff9f8001d33,2,0,0,0,2
aa588e2b-c7e8-4259-99fe-1cf8635ed9de,2,0,0,0,2
ad5078a2-acbe-4e42-95b0-89212016341b,0,2,0,0,2
ad78410e-d53a-474e-a51b-19dd4782608d,0,2,0,0,2
aed678b5-1b17-415e-a4d5-413b44956137,0,2,0,0,2
aff659cc-5598-4d0d-ad73-9902d4ac025f,2,0,0,0,2
b04850ea-a754-48f2-818a-bea5296e741d,0,2,0,0,2
b4899ee8-baec-420f-8b90-5384e1dfb3b5,2,0,0,0,2
b7917e3b-ccc5-4d93-bc80-09e794e79802,0,2,0,0,2
b8066b57-f009-4c24-883e-8bbb59468231,2,0,0,0,2
b8701179-a287-4c37-9bb6-fdbcb46c7d38,0,2,0,0,2
bbff32bd-34c4-41ec-bbb4-120a5c8e7e9d,0,2,0,0,2
bdcfdac8-b93c-4f50-a3f2-314c2bd284a9,0,2,0,0,2
c64245f5-b88a-41b2-b880-8e6b9cb16510,0,2,0,0,2
c846256e-3585-4177-a1d2-cd1a1cf2ac1a,0,2,0,0,2
cb1372a1-916e-4ba3-87fb-1ac11ce04bae,0,2,0,0,2
cccf0f41-5bc3-4c09-b807-442b5e11cb60,2,0,0,0,2
cd5d1ff8-45f3-493f-a66c-bf33729311d2,0,2,0,0,2
d18a6096-5aea-4272-822f-18ca7c7b5d12,0,2,0,0,2
d1ed67e9-f0d9-40cc-adf3-c742027bb29a,0,2,0,0,2
d33bef5f-146a-440a-b335-b8857c3caa23,2,0,0,0,2
d4da0b39-94da-4897-a868-cf4b1e160719,2,0,0,0,2
d6cef174-d789-42e5-906f-044bf14eeaec,0,2,0,0,2
d72bc93e-ab47-466a-937f-2d78526cb07d,0,2,0,0,2
d7a8150c-d669-4710-a7f5-6636a7159ac9,2,0,0,0,2
d8c7d0fb-92bf-40b3-bb80-3d3dd3f925cd,0,2,0,0,2
d9a59f95-6db1-4cbd-bc37-83cc61d5b5d4,2,0,0,0,2
da71022e-d750-479e-857c-aae582045236,0,2,0,0,2
db81f2ff-6f15-4b1f-b68c-cc21532cfb17,2,0,0,0,2
dd13ec63-1722-40fe-9ec8-efd1e7287b9f,0,2,0,0,2
ddb9cb05-6af5-4471-95f6-a42009fbcca0,0,2,0,0,2
df774e63-bb75-491c-90ad-db271cefe8e6,0,2,0,0,2
e24f6a5e-6a39-4ad8-b8bf-7308a03eaf24,0,2,0,0,2
e44dd580-9ae6-4112-ae7d-c15aa96b80b8,2,0,0,0,2
e98249bf-c331-43a8-a2b0-51d5cfd400db,0,2,0,0,2
e9ab4c91-3021-4db5-a034-322cd158a0ef,2,0,0,0,2
ea623dbf-3a0b-4121-a11b-7b7788c4453a,0,2,0,0,2
eb0f533e-d314-46e1-9bbb-f05944e4eaeb,0,2,0,0,2
f330daad-f322-422f-bd95-95b860479750,0,2,0,0,2
f4cf6313-11a9-450f-9186-1f7e15bea552,2,0,0,0,2
f7e6e01d-0803-43f2-aeba-ff72a8a90b40,2,0,0,0,2
f95790c5-cee1-4867-a047-033fc2d69231,2,0,0,0,2
febed239-9d6f-464a-8f16-88a7038728e1,0,2,0,0,2
fffd46e9-b419-491f-8f70-d98c1ec2b745,0,2,0,0,2
