uuid,female,male,other,skip,total
0079827e-ac8a-4cc9-a381-c5b727a632ef,3,1,1,2,7
00d14e37-228c-4a0c-8206-852534e18a52,3,1,1,0,5
01004a8d-2ad6-4b1d-be9b-ca8c600b3893,0,5,1,1,7
06cfc9fd-dfa8-42b8-b112-05cb9d4ffafa,2,1,1,2,6
09c189a8-e705-44a6-a509-3e793285af51,1,4,1,0,6
0a6f4062-c3df-42b2-82fa-548c07e06345,0,4,1,1,6
11bed876-2492-4bf6-a38c-88bcc8ff1c02,2,2,1,1,6
1210c522-c231-4721-8d04-955de757b5da,0,4,1,0,5
13025efc-f530-4d65-9e29-8b40df021f17,0,6,0,0,6
16aa5c6e-423c-4d2c-b08d-aebac5fd18a1,0,6,1,0,7
16be371e-483c-4dda-8be3-bed4dc5b7378,0,4,1,1,6
17b4305b-9204-46e8-98be-eea94622e4dc,0,4,1,0,5
1993508c-d6f8-446a-a332-dcec4fda5c5e,0,4,1,0,5
1dd63e39-450b-4a9b-8f54-7a79b08bd689,0,4,1,0,5
20ed4c2d-200a-4cb2-aef3-0d35315b05c1,0,5,0,0,5
223805bd-9e38-4669-9a07-cd6204d3d140,0,6,0,0,6
240a64b8-1475-4e05-9ce5-e1bdacad8d8e,5,0,1,0,6
24477ffb-3be3-4b2f-869f-4b865d51be30,0,5,1,0,6
25a1c133-923b-46ce-8a65-ed1075007773,0,6,0,0,6
2766dc9e-4b66-4815-830b-924019fe31e2,0,5,0,0,5
28fcf372-884f-4c92-a7fe-30b8fdd9f80d,0,5,1,1,7
2ab552f8-eaa3-49d9-b442-adfd40399343,0,5,1,0,6
2be13366-0bf1-46ce-ad25-6f3ff88ed1fc,0,5,0,0,5
2c510847-1f5e-4785-9d5a-7d7e15af6a93,0,5,1,0,6
2d1a9dbc-e88e-4dac-b8a0-fc801996e7b7,0,5,0,0,5
2e29428b-611e-4f2a-8b51-05e7a2b48311,0,4,1,1,6
2f47bad8-5d51-4a4d-94d4-625e9fdb7d7a,0,5,0,0,5
335a846b-c164-486d-8169-915a5b928126,0,7,0,0,7
34ad41db-8022-4544-8b59-ec440b2c309c,0,6,0,0,6
35deeaaa-b58d-4003-98fe-11360952dee8,5,0,1,0,6
3802aa55-687a-4d8a-8bda-5bdeb99ca027,0,6,1,1,8
4035015b-537a-4138-8a0e-5995c5b05fd0,0,5,1,1,7
416c7bdf-e593-4b05-ace4-0c95476eff7e,0,6,0,0,6
420efdec-5180-4dec-b92a-6f8d83eb7ead,0,5,1,0,6
4266fffa-6489-4b4e-9dc1-622af10fe2de,0,5,0,0,5
42764770-d292-43a5-b0bb-eeddb852daf2,0,5,0,1,6
42bd1a9c-544b-4007-8e0c-da46f6cc0e81,0,7,0,0,7
45b89f6e-fe38-4052-a3a9-eb2f8a96fe4a,4,1,1,1,7
4621e528-8162-4c80-9d65-89c1298a7aa0,3,2,1,0,6
46cca117-d79a-46e5-bd1f-c9b7ed0e6c6a,0,6,0,0,6
4b0fe918-adb1-49b7-be70-bc3f1ef96223,0,7,0,0,7
4c82002b-c722-4942-962c-654b42a02746,0,4,1,0,5
552afe40-26ec-408f-beb6-83529d2c992a,6,0,0,1,7
5653f45d-4b1b-43d0-b878-36008c99dec2,3,1,1,2,7
569138ae-b5ff-43a1-8b5d-50291564fef5,0,7,0,0,7
576d529e-1e0f-4295-9b40-be12db9b169f,2,2,1,1,6
581830a5-740b-425e-b2a9-a2297e7b6666,0,5,1,0,6
58902832-a42a-4652-a2fe-b55c74870869,0,5,1,1,7
5bd468ee-128d-49df-bf4d-d7da66895819,0,6,0,0,6
5d9405b5-d701-4baf-bb5d-61715c2715e2,0,5,1,0,6
5fd8b474-ca30-4bcc-8bbb-31a90651fc74,0,5,0,1,6
604f45e8-d4da-4b9f-854d-807b34ec096c,0,5,1,0,6
604ff587-2afd-4962-85c8-d8ffb0862fea,0,6,0,0,6
61ce2754-6cb8-4b97-80ae-8f7ab03cf483,0,4,1,1,6
64351621-681d-41df-b8b7-cd28f919ade5,0,4,1,0,5
679d014f-5d20-40d1-896e-4a97826781de,5,0,1,1,7
68ff450e-0ebc-47c5-b766-67c1c445472f,0,4,1,0,5
69a6ecae-0427-465c-ab4c-4f8c6f7224ed,0,4,1,1,6
69db9fea-e892-46b8-9b8a-f65d8a3707ac,0,5,1,0,6
6b53f548-ead1-47a4-aa4b-1a0c9d73ef95,0,5,1,0,6
6f0abc75-9520-4beb-84ca-a1fb762ea69b,0,4,1,1,6
6f14198f-292f-41c5-9115-628b01d74d27,0,4,1,1,6
73204def-fc1f-4815-a6b5-f4eae9bc3626,0,5,0,0,5
73bf03e4-695a-4a4a-b0ab-e41d9e3c0c2f,0,6,0,0,6
76f75fbc-87b2-448c-a54a-4cbd7bba9625,0,6,0,0,6
774be9aa-1b32-4459-ac80-ed0dc682a0ca,0,6,0,0,6
7753e054-3371-4156-9747-84dabd2c5304,0,5,1,0,6
77d1574b-98fa-4015-8ab7-515b6fe9e60a,4,1,1,0,6
7912f098-b24c-4bff-a929-68d679e7988d,1,6,0,0,7
7a9d451f-aa92-4944-a5a5-b434989b1ce9,0,6,0,0,6
7de67f4c-5abb-4e83-a6f9-d6fbd2128988,0,4,1,0,5
81899df1-9857-4f17-9328-59faa3622458,0,6,0,1,7
84c0134f-2fff-4133-be79-60f07298a303,0,4,1,2,7
87bd2c52-9ad3-4c87-bdd7-46b1483c28b3,4,1,1,1,7
8bccd324-ee55-4d1b-9032-b51a8fed8897,4,1,1,1,7
8cb8857f-5a93-45c1-b403-4ef7fb997507,0,6,0,0,6
8eca1df2-b44f-4426-983b-932d4ac686ea,5,0,1,0,6
8edd17dd-fd05-430a-9a63-5624e38c9a93,0,7,0,0,7
8f22bc1d-92a3-431c-a8d3-51a70865b2a2,0,8,0,0,8
90b5dccf-bf56-4664-915f-634b4704b244,4,1,1,1,7
91e0c8cf-b82c-4669-959b-0ca0a4576cce,0,6,0,0,6
924bc257-a8cb-4119-aafb-fa1ad1460599,0,7,0,0,7
92bff7c7-2b36-47be-af13-62f26beaa20c,4,1,1,0,6
9638d2ef-7d61-4f51-a558-046f2ae5684c,0,7,1,0,8
967309c7-3112-4e5e-a6fa-8911cfabbb63,0,6,1,0,7
97d43f4b-a751-4130-ad30-4aee88f23f3f,0,6,0,0,6
97f0e12d-41d3-44ac-b39d-fda083cb8fa2,4,1,1,0,6
9835af18-3ea7-4530-8592-493bc331642c,0,5,0,0,5
990233e1-806a-4875-9c7e-d1f54647dbc0,0,4,1,0,5
9b770b11-df20-4cad-bc90-30992d3be205,0,7,0,0,7
9e720947-14eb-49bf-b323-4a547b8df63b,0,5,0,1,6
a007bb26-a58e-4e89-8553-adc73432253e,0,5,0,0,5
a2ea2573-7ec9-4d69-8a66-f57b2adca56b,0,7,0,0,7
a3f44b38-a7e6-44b2-a641-5901e4176ad7,0,5,1,0,6
a446ac33-a5d4-4d68-89c0-91af3fcb3e56,0,6,0,1,7
a5e363ad-564a-4b07-be0f-e6e7f7d87053,0,4,1,0,5
a911611d-6143-4d24-9bd0-96b72672d699,3,1,1,1,6
aea10167-96a4-4ce4-a85a-0fa3c5def0b2,0,6,1,0,7
af623139-afd4-4f24-a8c6-d818251d303c,0,6,0,0,6
b16e3527-5227-43bb-b330-1ca5d03a5838,4,1,1,0,6
b3c187cc-33df-43ee-b034-cb53baac1801,0,4,1,0,5
b42a7eb0-cc6d-4d3e-b9b9-601428fa2c3d,0,5,1,0,6
b9d8e761-5132-4977-810f-ad1ea36e7875,0,4,1,1,6
bb2abf5c-4b5f-4340-8a49-a687797f4958,4,1,1,0,6
bdfb812d-ec5e-48d3-9da6-63714c3c0e71,3,1,1,0,5
bf5c9b07-b1f4-4b6b-9f98-22cf5f05614f,0,6,0,0,6
c0581622-6be3-46ce-8298-e0c2971d6622,0,5,1,0,6
c098546a-aa9c-4406-abd7-2a41d7554962,0,7,0,0,7
c48eaea8-8d1c-46d9-8a06-b35b2f29d7f2,0,6,0,0,6
c60b2932-2204-4c3a-b05a-713ecc5d39e9,0,5,1,1,7
c8021134-ef52-449c-87f4-3a22cfce7d32,0,5,0,0,5
c8ca507b-008c-4f92-86f0-eb7defe0ad53,0,6,0,0,6
c9858086-389f-4b93-bf65-fb0973c01024,0,7,0,0,7
c991a8c5-dc23-41e3-bcb1-13e02c193219,4,0,1,2,7
cc285657-4241-4e25-b3b4-a04b0eb2db97,4,0,1,0,5
d020c09a-6aa4-4dfe-9aac-5fd496b90d4a,0,7,0,0,7
d0fe0789-7d4d-4d49-8eff-a5f9f95bcb58,0,7,0,0,7
d18dd0ce-23a7-4120-8881-ac8ae4d3211d,0,5,1,1,7
d21a0dc5-e6e5-4c2b-a870-5d16a8c3b513,0,5,0,0,5
d2799f94-fb52-477c-990e-da67b29c8d7f,0,5,1,0,6
d2e65959-532b-4a43-a742-8295ff81b5a5,0,5,1,1,7
d2fdc405-d5ba-4ed3-aacc-aacfd01cd32d,0,5,0,0,5
d386c09d-cfa4-4bbb-872b-7ceede076508,0,7,0,0,7
d44c952e-7577-432f-b57e-3a2c0f04451d,0,5,1,1,7
d47513bb-8659-4825-8627-4ab43325d098,0,7,0,0,7
d4cc8035-d944-48d9-aa6e-f64d44be6ccc,3,1,1,0,5
d53489b6-8c27-4394-9d49-730607be5731,0,4,1,1,6
d82ec394-0842-4899-982a-c53c836ba960,0,6,0,0,6
dcdf69af-af8c-46eb-bec6-b7b970f5e743,0,6,1,0,7
dd561987-7784-46e3-a281-fa852e356382,0,4,1,1,6
deb6a745-10b9-47de-9258-cd65b4d006f2,3,1,1,1,6
e2bff9e8-cd8f-41ce-a760-7ac061829fe1,3,1,1,0,5
e2d10000-c9ab-46f1-95ef-ee36da5bdb3d,3,1,1,2,7
e3c14ce2-52f4-4e57-bfe7-8d6ca04a302b,0,6,1,0,7
e469e821-1ad8-4669-a609-f1af3f90ceab,0,5,1,0,6
e7770613-283b-4e3b-b5d1-9ced928019db,0,6,0,0,6
ede4cf62-0693-4f81-9cca-ab9143130567,6,0,0,0,6
eeb4f4df-a280-4884-a866-2ed2e9d49ed7,0,4,1,0,5
eecabe10-758e-4b6b-bca9-8161cdebb262,0,4,1,1,6
f3df3135-9cfd-4488-91f0-c8bad1fa9668,0,5,1,1,7
f5cdb71c-772e-40d1-8b5b-e093227a2484,0,5,1,1,7
f6f69071-8691-4dfe-8189-5ae89da00779,0,5,1,1,7
f7a7a622-c96e-4a68-8a20-7f722f4c67f5,0,4,1,1,6
f97c5e2c-ac8f-4d67-8dfa-53acfe064194,0,5,1,0,6
fda13c5b-f1f1-4700-84fa-d576ae948d88,0,6,0,0,6
fed50116-721b-4e9f-a7ae-2622106003fc,0,4,1,2,7
fee1967e-e352-45ad-8dc8-19d115208720,0,6,0,0,6
fee602bd-c615-48a7-9fd5-35e59317ff47,0,4,1,0,5
