id,uuid
abela-carmelo,a4bda36c-5f11-4974-8d58-99fa68776b35
agius-david,61bba5ce-3d96-4e5c-9550-9b95de766d91
agius-chris,d0aa96c0-2c0f-4e89-9fd3-91d3761df98f
arrigo-robert,0ab37aaf-e308-4f98-a408-c0c60a737116
agiusdecelis-anthony,9163472f-ec8a-40d0-807e-171381715d2e
azzopardi-frederick,17c4c677-e371-497b-a65d-7f116f7c18cf
bartolo-evarist,945b3c06-1076-454d-a862-8e5d0fa038f6
azzopardi-jason,34c28585-fde5-4fcf-9ad1-69c0b62a793a
bonnici-owen,4dadfb6f-d761-44ed-ba03-54c18a49c558
bezzina-anthony,10743479-a5dd-466b-9dd5-95d5bff630a7
borg-ian,6f8e37ce-6c5c-44ca-9d56-eb32cfa93de5
bonnici-charlo,4982a317-d51b-4d1e-bd97-56edac0aece3
brincat-leo,d7eda5ac-6fb7-4431-af49-cf0f019b1edf
borg-antoine,f479086e-eaff-4b49-b79b-16fff17595e4
buhagiar-charles,c35d2f39-ff12-4f21-b471-7c5ab01a2e1a
busuttil-simon,eba2730f-f701-4e13-8778-397dfc2f539f
buontempo-stefan,a4b03c38-5656-4361-8060-28bcbd3aa3a9
buttigieg-claudette,472a91e9-a3f2-4c3e-8318-077f51c5fb48
busuttil-luciano,70dded4b-99c1-4569-a91f-666cdd3ea391
callus-ryan,013d4477-7a18-495a-9249-e5ac5ef0add5
cardona-chris,dbd7ac0d-8a0b-4c84-ac77-43b546767dc8
cassar-joe,9530ab81-5cfb-4278-ba84-66fdf42ae788
caruana-justyne,7297f3f3-5d76-44c7-b980-6232bf4d9a78
cutajar-robert,a1b7b8ea-a7a6-4a2e-821e-aa1e940024f4
dalli-helena,60d51ea8-48f8-4a9e-b729-d3d6f860dd19
demarco-mario,eeedb4bc-283c-43a1-9476-fe6ac6f65dd9
debattista-deo,98e92ec6-3729-4a53-a666-593b4dd1d8b3
kristy-debono,7035d10b-73e1-4dbe-b806-1215db89cfd7
debonogrech-joe,ab8b7203-9fbd-446d-b545-1cd88ee74e94
fenech-albert,cae1b496-0001-4b94-adec-884cec06394b
falzon-michael,a7ea6925-5228-4370-b210-e35f269328e5
fenech-tonio,d5ae793a-1653-4e57-868f-ecd392d05809
farrugia-godfrey,ae4559f6-9433-4f92-a538-ad33498fd796
fenech-adamibeppe,3aff4f5f-f366-425d-ba5b-b8a1dfb681a6
farrugia-joseph,1eaa462f-da27-41dc-9055-919b96ff45a2
galea-censu,d807138f-81ad-4c88-a7ef-2a58dfeb579c
farrugia-marlene,803511e2-3629-40c0-9ad9-bd950298f155
galea-mario,5a576f45-6824-40cb-895d-040c08d61400
farrugia-michael,8ce0fc3f-1461-4a5a-9af5-ee634fe51c2d
gonzi-michael,41cda172-c6b3-47db-ac07-3cb3c4b8994f
fearne-christopher,0638fdcd-d02a-4204-bfb0-c91b5d7b2374
grech-claudio,b1bba401-154a-4766-8ff3-cb1a7484639c
galdes-roderick,62732ab1-14e5-4da6-b2a0-cac8d488b55f
mifsudbonnici-carmelo,7a61181f-a051-4cce-ba90-0286987e1de9
grech-etienne,7e059b42-5679-4344-9c09-ab7ded4d190b
mifsudbonnici-paula,53bc92b9-e039-4bc4-bce1-aea81684fb7f
grech-louis,fb060def-5778-4c95-b2c3-f091b09945e4
portelli-marthese,ac99c13c-30da-4c1b-8ae3-c92051d4cf83
herrera-jose,f36e5916-a11e-4dfb-9b96-6da54b1c94b4
puli-clyde,66bfcb58-b3cd-4b98-970a-a0bce078510d
mallia-emmanuel,4fbea3cf-ce49-425f-9f99-44cfc18f4f49
pullicino-george,a4e0ace0-d840-4fec-854e-d4af96eff7bd
mangion-charles,252760c5-af48-4b8f-88be-dbd220de891b
said-chris,438b84c9-1dd3-4b9b-adeb-f240ec4122fe
mercieca-franco,8c3d0fcd-3aa8-4610-9650-d8f9a05abd71
spiteri-stephen,ae2e2b4b-a907-476b-9799-0620e751423d
mizzi-joe,dac7de4f-d164-44e0-8411-b1739f5cc681
zammit-dimechfrancis,63ad454c-3093-4606-8380-00bc3ff70b79
mizzi-konrad,8556b667-af3b-4ba4-80dd-d3f8f0af0508
muscat-joseph,e1af3701-d891-4cf4-aab0-2404f265057c
parnis-silvio,c4ededa8-e3dd-45a3-8e80-93a3eddc1f80
refalo-anton,99402a5a-602b-46a6-a8bb-45edc333e64b
debono-giovanna,fc7366dd-109b-475e-bf93-cedf8386f1bc
sammut-joseph,f6cdf943-43a2-45cf-941d-1f5d91759100
schembri-deborah,10b44dd3-3358-4969-ad9f-fc4723067954
schembri-silvio,bca29eec-ffdf-40e2-b413-188d77b0a0d2
scicluna-edward,400d9864-ede3-4849-ae6e-7b4821ab70db
vella-george,f810055a-379c-4865-b974-b00be874ef6b
zammitlewis-edward,f4d1c7e4-e0c7-41e7-83ee-5bb8c9fb2549
abela-anthony,09ff6fb9-0562-4bfa-980e-4365c01c4a3b
gouder-karl,43e3a3a0-6c63-430e-91e4-687d137b8ed7
grima-clifton,9906da44-5982-4773-8af6-8a2bff1d6eea
micallef-peter,7b529f7c-66bc-4eac-85b3-7c5c907fdf49
vassallo-edwin,a063c2af-dc33-4d50-b50a-dd256d444bf8
