uuid,female,male,other,skip,total
031e1ad7-2f4a-41d9-89b6-640b675702fa,0,3,0,0,3
0986e289-d83f-4be6-bc1b-14295726c8c1,0,3,0,0,3
0aa70bef-a146-413b-ad63-060b671dc648,0,3,0,0,3
0b5e6200-f5c0-460e-a67f-1ec17617d2c7,0,3,0,0,3
0bfaab7c-548b-41cb-82b3-b2870fee11cc,0,3,0,0,3
11021b19-d92c-4d72-b702-cf8fbe957626,0,3,0,0,3
135294a5-fd41-44cd-8980-0f316bb09891,0,3,0,0,3
1479b419-0e38-499f-9670-471f98a0c6bb,0,3,0,0,3
1a89df8b-970b-4ed7-ab40-6660f851865f,3,0,0,0,3
1f785a1b-8474-4225-b25f-2734affe4bac,0,3,0,0,3
28cc782d-fd7d-4f4d-b217-45be9bed4598,0,3,0,0,3
2bccfeee-aeb1-4223-b0b9-2160ff3625a2,0,3,0,0,3
2fcab4c9-1763-4c15-949a-b7421bf48eed,0,3,0,0,3
385a9288-2c65-4e2e-9e93-1b3a583f711b,0,3,0,0,3
3a66f1de-c568-4532-901d-6658314904b5,0,1,0,0,1
3d882243-9473-4230-84d1-75cb4e616c5e,0,3,0,0,3
3e6eb062-3610-4544-8841-8b98de796671,0,1,0,0,1
3f0e7a1d-70bc-478b-a813-5022ee954c87,0,3,0,0,3
42700471-5888-49f3-b162-af263a529b9f,0,1,0,0,1
4537b2a0-1d45-4646-939e-261e07d1ab71,0,3,0,0,3
45c60ea1-bb65-4066-b1d3-0edc92359e14,3,0,0,0,3
49f987a1-50a1-4025-bd40-499111be934e,0,3,0,0,3
4e0c522e-a790-4e4a-961f-44d6f802fe1c,0,3,0,0,3
6092cfb1-4a17-4275-ba20-a115a611c22c,0,3,0,0,3
661f04db-440d-41d2-873f-b7350f0c0134,3,0,0,0,3
66966c4d-e771-40be-a7b6-fda2618abf5b,0,3,0,0,3
6e72ac7f-0154-4895-bcae-ab4a9c362776,0,1,0,0,1
74053fe1-0b44-44e4-809d-8c92b5f553a5,0,3,0,0,3
78650983-5536-447f-934a-f5f1d1eedb7f,0,3,0,0,3
7c9c8c04-b93b-447c-8c1c-c87c8c664264,0,1,0,0,1
81ff6684-720f-433e-85b7-071f057970a6,0,3,0,0,3
8951debc-321c-4db3-9513-c695cc5ba1ba,0,3,0,0,3
89de6338-fe92-4f8d-8126-576a87c04eff,0,3,0,0,3
8ab3aab7-0bc7-4b4f-a114-3fdf5839690d,0,3,0,0,3
8d1885ae-3ec6-4a72-8237-90f7e2b2c66a,0,3,0,0,3
9203a358-f36d-4551-80c8-92455f617589,0,3,0,0,3
97573f91-7557-4bfd-ae6d-e85cd3547e00,0,3,0,0,3
9cf0587b-e652-48fa-9ce0-f793c115aa60,0,1,0,0,1
9cfd6082-c13b-49d9-9d26-0adec3f4a65f,0,3,0,0,3
9dd4f745-ec15-4273-8fc3-e74a20ea0a35,0,3,0,0,3
9f16c11d-da3d-4006-a5d1-6eadd312266f,0,3,0,0,3
a265d19d-c56e-4caa-b512-065342e02bc8,3,0,0,0,3
a5cb8a98-85b9-4c51-a519-b6e54ce02468,0,3,0,0,3
b03ce67e-28fe-43c5-af91-53a8ec553207,3,0,0,0,3
b220307f-2f9d-48c6-b120-6247bfe8e719,3,0,0,0,3
b6a704e9-9e0e-4678-acf3-863cdebc949d,0,3,0,0,3
ba9eb130-c1f9-40ae-a805-4a7c635a8b01,0,3,0,0,3
c422f834-1259-4559-9585-30a73db76c49,0,3,0,0,3
c6dd8909-ab61-4f2d-8417-7030dbb66ee7,0,3,0,0,3
c6e4b64d-ccfe-4ca6-a484-7b358c142818,0,3,0,0,3
c9483a57-f90f-42a5-9997-6f91a2c56b84,0,3,0,0,3
cedf4729-7f48-4ce9-add7-c189db1aa4f7,0,3,0,0,3
d0b02f94-d36e-49b3-b7b9-5c94e2f8cf84,0,3,0,0,3
d2f50a5d-d69b-478f-964b-9a18c54187b5,0,3,0,0,3
d310e419-abaa-433c-8f09-13fddf482a61,0,3,0,0,3
d8a3a81b-678d-46b7-ba6e-e39e68dd2ecc,0,3,0,0,3
d92d6691-cb92-44aa-8dc0-4e6927f78a5c,3,0,0,0,3
db57ba63-8af0-45c3-9fa9-0687f96ed33a,0,3,0,0,3
e2dc3255-04e8-4069-963e-df81a24aea5e,0,3,0,0,3
e58e3fc9-d354-4374-9d7d-a95ae503a715,0,3,0,0,3
f6e38152-dec4-4e6c-bf23-08420495f04a,0,3,0,0,3
fb4260b7-1c75-41df-8cee-079fbb9c3c21,0,3,0,0,3
feca5485-8be4-44b9-a18b-b94eaa6a4f9b,0,3,0,0,3
