uuid,female,male,other,skip,total
069c61d9-e17f-46aa-aba9-1b255e3166e5,0,16,0,0,16
10995076-8cb9-43a8-b1e0-ed1af900ed70,15,0,0,0,15
1ab91134-5837-430d-855d-6acfdce78d86,0,15,0,0,15
212c44f3-e91d-48ad-9476-ad3ea8998ab6,9,0,1,6,16
25ac9df5-73ca-446b-8bc3-d91b80b7909b,0,15,0,0,15
294b101b-1db4-469e-9684-f3124f9cd061,0,16,0,0,16
2d97597a-4313-4ee9-a5bc-762c2608b4f9,0,15,0,0,15
3392297b-d394-4b04-a858-3738b2931335,15,0,0,0,15
36915827-7b54-4f98-8f0a-a54db2a41136,5,0,1,8,14
3fdb5680-ddd6-4c06-a199-6a3a76327ece,12,0,0,0,12
4116682f-f3c3-4514-a891-b9fe8afa245f,0,14,0,1,15
4519dd08-5c45-4324-a257-591aaa03c3e8,0,16,0,0,16
5049236d-df09-43ab-a843-b9c910603479,0,12,0,0,12
58467ee7-696f-4c46-91c8-7ac4110e9d32,0,15,0,0,15
58aff53c-e322-40e3-a8d2-49b672ae500c,0,15,0,0,15
5b06a945-d7f3-4290-8794-9372273aa22c,0,16,0,0,16
6338f4dd-223b-4900-8cf7-d632eaabdb0e,14,1,0,0,15
73c20499-0d12-4409-b430-1ae222d6bc4c,12,0,0,0,12
74f795c8-c159-4c18-b2e5-bfbf58502c29,0,12,0,0,12
7877e36d-a18b-4e99-b6bb-74aac77286d3,0,16,0,0,16
7bcba90d-f015-4ea3-9243-eb1619719f61,11,0,0,1,12
7e3b4661-2fe0-4f15-9970-86b98701dee1,0,11,1,0,12
7efe27f8-e3a4-4ac2-8daf-f49bdca45ab9,0,12,0,0,12
88204fba-8f58-4add-9e16-2c9aba3ad44c,0,15,0,0,15
884b6d85-564f-4f43-9e37-d5306e241cc5,0,16,0,0,16
9969d9d7-ab81-4ab0-bd80-35e4c21d5b22,0,15,0,0,15
9dbf37cd-1a94-47f5-93ac-b7de0e34083b,0,16,0,0,16
9fbcb798-95de-44a8-ae21-b8c42eb21f27,10,1,1,0,12
a4194905-b544-441b-a58f-7d92681398cf,0,11,0,1,12
a41f0372-a0b2-422a-b9f5-a04698a8205e,0,16,0,0,16
a539ff7e-cc05-4dfe-b068-a5969a0d9538,0,12,0,0,12
acdcf89a-6477-4afd-a65e-9989bd2a1af4,0,15,0,0,15
b7892b68-4297-47ca-a4fa-00f343925655,1,15,0,0,16
b7fae283-e2ae-4f24-b071-473db127ed2b,11,0,1,0,12
c074f156-4e82-43ea-a999-2333b7b0f75c,0,16,0,0,16
c1735663-4615-4bd7-bac6-68f206835bf3,15,0,0,0,15
c2e677f9-7320-45b6-88a4-32ef42ff1acc,0,11,1,0,12
d65f8266-9315-47be-9c64-0f54625c6ddf,0,15,0,0,15
d7a8d7c9-9019-4db4-8039-0941b7ab9e1a,0,12,0,0,12
dd1cba32-c84c-4563-88a0-cb724a62ffce,0,5,1,9,15
e3aab23e-a883-4763-be0d-92e5936024e2,11,0,1,0,12
e3c01d19-cdd8-407c-b52f-95eea87f2307,14,0,0,0,14
e57828f1-e51a-41ea-a61b-7fc1b92e2b37,11,0,0,1,12
e6f6e01b-bcb0-4374-8912-7e1eaf492f10,0,12,0,0,12
ed4838aa-19f8-493c-b8c4-58780b5b0d84,0,12,0,0,12
f4f995ae-126c-468f-8f26-deec1e26adc2,0,16,0,0,16
fe40bb08-5025-473d-af52-bf1e30ecc5e6,0,16,0,0,16
