uuid,female,male,other,skip,total
0677a3dd-7428-4fd8-a7ce-0787db904bfa,0,5,0,0,5
1586553e-7c2b-4f2c-80cf-a3e711287b4b,0,5,0,0,5
176ba216-b566-4673-abbc-4216c36f3a0e,5,0,0,0,5
1d2d587a-fc2c-4ca3-ab49-80f5a85266bd,0,4,0,0,4
237b5885-99a8-4c7f-b337-98eeeae18745,4,1,0,0,5
28456bbc-e6db-4440-8024-ed5d7f9b41df,5,0,0,0,5
2a1036ba-ec81-4e98-b721-73a5ce17ab2c,0,5,0,0,5
3709bd04-0825-4eab-af4c-510897e66ae0,0,4,0,0,4
37b3b92d-3a84-4735-a989-e1ffd6695086,0,5,0,0,5
47ecd6c1-6d17-4565-b460-dce185a35076,5,0,0,0,5
52053f9f-8716-4f15-a05c-2dc0966b7fe1,0,5,0,0,5
5a97e953-7ed8-4863-80ac-4c3f1bb3cf45,0,5,0,0,5
627bffe5-d384-41a5-adbb-f8e7688f82c1,0,5,0,0,5
65e01730-d136-4bc6-a6dd-d342b82b5eaf,0,5,0,0,5
6d660aa2-8990-4700-9a39-c1d0acfd311a,0,5,0,0,5
77b143d3-587e-49b0-930f-5d1ccbbb3b38,0,4,0,0,4
788e1511-25ba-46f4-b188-a7118101708c,0,5,0,0,5
7aca14ab-fc52-49f4-8fef-306613b495e4,5,0,0,0,5
8ecd65d3-bc84-42b9-bf16-54de6b8e8da5,0,4,0,0,4
a5743309-cef4-48da-a32d-f9ea0212dc39,0,5,0,0,5
ca035b7b-c597-4214-b35f-0e0c934cb6ec,0,4,0,0,4
cdd24859-1f63-45de-be11-afd4908fc80c,0,4,0,0,4
d1088f5c-1d95-4468-99c8-1624b4cb816c,0,5,0,0,5
d59107ab-dcc0-40a4-bf66-028d37c78534,5,0,0,0,5
e1250680-90d8-4a0e-b467-91577ef516bc,5,0,0,0,5
e4cadbcd-8223-4448-9cc2-322c76016c56,4,0,0,0,4
fd4fdf4d-34da-475c-996a-cb6bf9f660f7,5,0,0,0,5
fda7546f-decc-4648-b19f-f9354a5fc40f,0,5,0,0,5
