id,name__fr,name__nl,name__de,name__en,name__it,name,wikipedia__fr,wikipedia__nl,gender,birth_date,given_name,original_wikiname,name__pl,name__es,name__nb,name__da,name__nn,name__sv,name__hu,name__et,wikipedia__commons,wikipedia__de,wikipedia__en,wikipedia__et,wikipedia__no,wikipedia__pl,image,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__freebase,website,identifier__NTA,name__ca,wikipedia__ca,wikipedia__es,wikipedia__sv,name__zh_hant,name__zh_cn,name__ku,name__tr,name__ckb,name__ro,name__bg,wikipedia__bg,wikipedia__ckb,wikipedia__ku,wikipedia__ro,wikipedia__tr,name__eo,name__de_ch,name__en_ca,name__en_gb,name__lb,name__oc,name__ru,name__uk,name__el,name__zh,name__vi,name__ko,name__la,name__cs,name__br,name__ja,name__ar,name__he,name__id,name__ie,name__io,name__fi,name__af,name__fa,name__li,wikipedia__af,wikipedia__ar,wikipedia__br,wikipedia__cs,wikipedia__da,wikipedia__el,wikipedia__eo,wikipedia__fa,wikipedia__fi,wikipedia__he,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__it,wikipedia__ja,wikipedia__ko,wikipedia__la,wikipedia__lb,wikipedia__li,wikipedia__oc,wikipedia__ru,wikipedia__ruwikinews,wikipedia__uk,wikipedia__vi,wikipedia__zh,family_name,name__an,name__ast,name__bar,name__co,name__cy,name__de_at,name__eu,name__frp,name__fur,name__ga,name__gd,name__gl,name__gsw,name__hr,name__ia,name__is,name__kg,name__lij,name__mg,name__min,name__ms,name__nap,name__nds,name__nds_nl,name__nrm,name__pcd,name__pms,name__pt,name__pt_br,name__rm,name__sc,name__scn,name__sco,name__sk,name__sl,name__sr_el,name__sw,name__vec,name__vls,name__vo,name__wa,name__wo,name__zu,wikipedia__wa,name__bs,name__ceb,name__lmo,name__lt,name__sq,wikipedia__vls,death_date,twitter,identifier__ODIS,name__be,name__mr,name__sh,name__sr,name__th,name__nan,wikipedia__be,wikipedia__cswikiquote,wikipedia__cy,wikipedia__frwikiquote,wikipedia__hr,wikipedia__lmo,wikipedia__lt,wikipedia__mg,wikipedia__mr,wikipedia__ms,wikipedia__plwikiquote,wikipedia__pt,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sk,wikipedia__sr,wikipedia__th,wikipedia__zh_min_nan,identifier__EuroparlMEP,identifier__Munzinger,identifier__parlement,identifier__FAST,facebook,wikipedia__nlwikiquote,name__ksh,name__frr,name__fy,name__lfn,name__pdc,name__pdt,name__pfl,name__sli,name__stq,name__vmf,identifier__IMDB,identifier__DBNL,name__rw,wikipedia__rw,identifier__PACE,wikipedia__hsb,name__hsb,occupation,wikipedia__ga,identifier__belgian_senate,identifier__flemish_parliament,identifier__quora,identifier__NUKAT,identifier__persee,name__hy,linkedin,name__ext,identifier__Britannica,email,identifier__youtube,name__be_tarask,identifier__google_knowledge,identifier__OLID
Q1151266,Emir Kir,Emir Kir,Emir Kir,Emir Kir,Emir Kir,Emir Kir,Emir Kir,Emir Kir,male,1968-10-17,Emir,,,Emir Kir,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e2/Emir_kir.jpg,,,,,,,,,,,,,,,,,Emir Kır,,,,,,,,Emir Kır,,,,,,,Эмир Кир,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q1240812,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,male,1958-01-22,Koen,,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Category:Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,Koen Geens,https://upload.wikimedia.org/wikipedia/commons/0/0a/Koen-geens-1362508702.jpg,0000 0000 6650 4894,93476347,131436686,n90678116,12432875b,033465770,/m/0gwgcjk,http://www.koengeens.be/,074864017,,,,,,,,,,,,,,,,,,,,,,,,,,科恩·吉恩斯,,,,,,クーン・ヘーンス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university teacher,,,,,,,,,,,,,,,
Q1344265,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,male,1962-09-11,Filip,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,Filip Dewinter,,,Filip Dewinter,Filip Dewinter,,,Filip Dewinter,https://upload.wikimedia.org/wikipedia/commons/f/fb/Filip_Dewinter_6_juni_2004.png,,55199279,12844875X,,,,/m/040_c2,http://www.filipdewinter.be,,Filip Dewinter,Filip Dewinter,,,,,,,,,,,,,,,,,,,,,"Девинтер, Филипп",,,,,,,,,,,פיליפ דה וינטר,,,,Filip Dewinter,,,,,,,,,,,,Filip Dewinter,פיליפ דה וינטר,,,,,,,,,,,,"Девинтер, Филипп",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filip Dewinter,,,,,,,,,,,,,,,,,,politician,,317,1803,,,,,,,,,,,,
Q14084072,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,,Peter De Roover,male,1962-05-20,Peter,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,,,,,,,,,,,,,,,,,Peter De Roover,,,,,,,,,Peter De Roover,,,,,,,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,,,,,Peter De Roover,,,Peter De Roover,Peter De Roover,,,,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,,Peter De Roover,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,Peter De Roover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q1441464,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,male,1942-01-14,Francis,,,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,Francis Delpérée,,,Francis Delpérée,Francis Delpérée,,,,,0000 0001 2026 0043,54180402,101242717X,n81119527,12118925k,029597021,/m/064m1jm,,068339828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawyer,,4381,,,,270290,,,,,,,,,
Q1471482,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,male,1970-01-11,Frédéric,,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,,Category:Frédéric Daerden,Frédéric Daerden,Frédéric Daerden,,,Frédéric Daerden,"https://upload.wikimedia.org/wikipedia/commons/e/ef/Daerden,_Frédéric-0071.jpg",,48622737,1061015351,n2004092367,,076110478,/m/0_lgnsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fredericdaerden,,,,,,,,,,,,,,,,,,,,,,,,,,,97125,,,,frederic.daerden.5,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q14856202,Tim Vandenput,Tim Vandenput,Tim Vandenput,Tim Vandenput,Tim Vandenput,Tim Vandenput,Tim Vandenput,Tim Vandenput,male,1971-11-06,Tim,,,Tim Vandenput,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f9/Tim-Vandenput.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
Q15048,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,male,1951-07-18,Elio,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,https://upload.wikimedia.org/wikipedia/commons/c/c4/Elio_Di_Rupo_PES-Kongress_2014.jpg,,4426085,102400578X,nb99001197,,16530359X,/m/01hgwl,,,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,,,,Elio Di Rupo,,Elio Di Rupo,Елио Ди Рупо,Елио Ди Рупо,,,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,"Ди Рупо, Элио",Еліо ді Рупо,Έλιο Ντι Ρούπο,埃利奥·迪吕波,Elio Di Rupo,엘리오 디 뤼포,Aelius Di Rupo,Elio Di Rupo,Elio Di Rupo,エリオ・ディルポ,ليو دي روبو,אליו די רופו,Elio Di Rupo,,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,الیو دی روپو,Elio Di Rupo,Elio Di Rupo,ليو دي روبو,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Έλιο Ντι Ρούπο,Elio Di Rupo,الیو دی روپو,Elio Di Rupo,אליו די רופו,Elio Di Rupo,Elio Di Rupo,,Elio Di Rupo,Elio Di Rupo,エリオ・ディルポ,엘리오 디 뤼포,Aelius Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,"Ди Рупо, Элио",,Еліо ді Рупо,Elio Di Rupo,埃利奥·迪吕波,,,,,,Elio Di Rupo,,,,,,,,,Elio Di Rupo,,,,,Elio Di Rupo,,Elio Di Rupo,,,,,,,Elio Di Rupo,Elio Di Rupo,,,,Elio Di Rupo,Elio Di Rupo,,,,,,,Elio Di Rupo,,,Elio Di Rupo,,,Elio Di Rupo,Elijas di Rupas,,,,,,Эліа дзі Рупо,एल्यो दि र् युपो,Elio Di Rupo,Елио ди Рупо,เอลีโย ดี รูโป,Elio Di Rupo,Эліа дзі Рупо,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio di Rupo,Elio Di Rupo,एल्यो दि र्‍युपो,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Elio Di Rupo,Елио ди Рупо,เอลีโย ดี รูโป,Elio Di Rupo,1294,00000028949,vi5sadm4vbzb,426897,,,,,,,,,,,,,,,,,,,,chemist,,,,Elio-Di-Rupo-1,,,,,,biography/Elio-Di-Rupo,,,,,
Q15127115,Egbert Lachaert,Egbert Lachaert,Egbert Lachaert,Egbert Lachaert,Egbert Lachaert,Egbert Lachaert,Egbert Lachaert,Egbert Lachaert,male,1977-07-04,Egbert,Egbert Lachaert,,Egbert Lachaert,,,,,Egbert Lachaert,,,,,,,,,,,,,,,,http://www.egbertlachaert.be/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,3965,,,,,,,,,,,,
Q1534851,Pieter De Crem,Pieter De Crem,Pieter De Crem,Pieter De Crem,Pieter De Crem,Pieter De Crem,Pieter De Crem,Pieter De Crem,male,1962-07-22,Pieter,Pieter De Crem,Pieter De Crem,Pieter De Crem,Pieter De Crem,Pieter De Crem,Pieter De Crem,Pieter De Crem,Pieter De Crem,,,Pieter De Crem,Pieter De Crem,,,Pieter De Crem,https://upload.wikimedia.org/wikipedia/commons/5/5a/Pieter_De_Crem_EDA_conference_2014.jpg,,53146708109300840611,1104220393,,,,/m/02rzq_k,http://www.pieterdecrem.be/,,,,Pieter De Crem,,,,,,,,,,,,,,,,,,,,Питер де Крем,,,彼得·德克雷姆,,,,,,ピーター・デ・クレム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,
