id,name,position,start_date,end_date
400d9864-ede3-4849-ae6e-7b4821ab70db,Edward Scicluna,member of the European Parliament,,
f810055a-379c-4865-b974-b00be874ef6b,George Vella,member of the European Parliament,,
34c28585-fde5-4fcf-9ad1-69c0b62a793a,Jason Azzopardi,member of the European Parliament,,
e1af3701-d891-4cf4-aab0-2404f265057c,Joseph Muscat,member of the European Parliament,,
e1af3701-d891-4cf4-aab0-2404f265057c,Joseph Muscat,Prime Minister of Malta,2013-03-09,
fb060def-5778-4c95-b2c3-f091b09945e4,Louis Grech,Deputy Prime Minister of Malta,2013-03-13,
fb060def-5778-4c95-b2c3-f091b09945e4,Louis Grech,member of the European Parliament,2004-06-12,2012-12-27
eeedb4bc-283c-43a1-9476-fe6ac6f65dd9,Mario De Marco,member of the European Parliament,,
eba2730f-f701-4e13-8778-397dfc2f539f,Simon Busuttil,Leader of the Opposition,,
eba2730f-f701-4e13-8778-397dfc2f539f,Simon Busuttil,member of the European Parliament,,
