id,uuid
tamaki,d6256792-4f9f-4438-a62e-0480707da286
east_coast,e4567c5c-2e9b-4717-9ad2-3e8dc140e79a
rongotai,a1f717c5-a80b-47f1-abae-d1bbf759e04f
clutha-southland,73213742-beca-4bb0-bbaa-1a2c616b770d
tauranga,ffbe5da4-c70c-4afa-8162-ebd2e64ec3ef
rakaia,e6c8da5b-eda9-4074-a5a4-30b7d4215c3e
whanganui,dcf114ca-e0a8-4ee5-9bd5-ae0c37243ca2
napier,47f99088-c659-40f3-9aa4-aa7e005e5a90
waimakariri,c764c587-5b19-4dae-b581-b3661cc004ff
tukituki,67be025f-883d-441b-9eaf-d5acdf0dc9e6
west_coast-tasman,72237637-7a40-4601-81af-a0e67f847b0f
hamilton_east,753abc28-529d-47ed-8a05-51837cbbca94
dunedin_south,e69a4afc-6096-4eea-b8e2-6f7b4540f445
new_lynn,9f7298e7-988b-498b-bc68-5db0d3e6e13d
invercargill,044fb5f8-b6dd-4d0a-a76b-9ba44074b2ac
manurewa,f0ebaf1b-961e-4da8-8fa3-65fec5ca822d
ilam,f00b4368-86c9-4660-abcb-f542f999285e
new_plymouth,3a59d16f-647f-45e2-8a45-d0d80cfbfde1
mount_albert,704ff9a4-3bef-4292-a89c-6bf22858b5f3
te_tai_tokerau,bf9bff17-76ed-4149-8589-5e928b6b8d67
otago,85d035a6-5d26-4e8f-b92c-afbc2f8dc943
wigram,ec000afa-7cac-4dc8-960b-c3414adde0c6
aoraki,5ebc1119-43bc-4f2d-b122-002c3f31cab8
northland,0f6a99ea-f34d-4f9c-89c1-073d9422fa6b
wairarapa,191e9fe6-970e-4862-855b-a7ff2c64f6c1
helensville,edcf2841-125d-44ae-8d6f-e407826dc97c
northcote,f176da2c-1825-444f-9ee4-c24c6f83ea25
clevedon,17f2c269-5d3c-4722-ae2b-df8366c5dc51
auckland_central,6216c6b5-6f4d-4253-84af-76c3e809750d
christchurch_east,07f2d6f0-c335-4bdf-b590-ea8ddad736ab
piako,d6221fc9-cc70-4e3a-b0c1-e212bbede6e7
rodney,154d1786-37cc-4560-8575-00a1b836b0be
waitakere,2f9bdac4-e3f0-4903-a8e9-d97f26385491
te_tai_tonga,ae3f60e5-ab04-400b-963e-e0aad87ee3ea
wellington_central,83f152a8-987f-4bdd-b2e2-d4512286e052
taupo,96a591ef-04c4-4d7d-92f0-848fff65c843
maungakiekie,8a20c0ba-9dbc-46ef-8431-9c3d0968d6c5
hamilton_west,f90bc4d7-6857-44e7-af76-47f0e1921544
pakuranga,c75f2fc4-ee1d-4ef6-b3f3-9bf00f939842
east_coast_bays,e6fc637a-2564-48bf-9112-69b095b6ba3e
tainui,cdc564c2-45bf-4a3a-be87-dabd8c571029
nelson,a42eac92-5278-4385-9b5f-a8d6482639fa
ikaroa-rāwhiti,83d01d49-00cb-4088-af41-5c5c48ba24ad
port_waikato,e1501d89-53a8-4a31-becc-8038e5afb9a8
rimutaka,2000b592-0c98-4364-a3a0-1d9a4a00c917
dunedin_north,532163fc-3690-46c0-814c-b9b4f3118572
ohariu-belmont,d8da27bd-d31a-4e7f-b3b9-6cc17c6aabc5
mount_roskill,882920cc-95e0-408f-a557-7f52c7229f88
whangarei,e59297c7-eaec-4f81-bacf-9da158205efb
tāmaki_makaurau,18205f90-378a-49b0-a494-6f8ea3dc6ec1
epsom,7bd7085d-ce43-460d-9485-cf1fcdd403ea
manukau_east,cea8864a-cbe0-492b-8478-428743059e0f
banks_peninsula,55f790b8-c751-41f3-84b1-30332c533bab
coromandel,5807048a-98cd-42e2-8835-f238a6a00b68
taranaki-king_country,eba1cdbe-c841-4059-a7a9-05a888ac653b
rangitikei,7f9b19b5-bd95-45c1-b9d0-de32d0f10c65
rotorua,a53d9286-bd59-4f1e-8e9b-9029fa6b99a1
palmerston_north,7a2bc63e-91e5-411b-9dbd-9517bdc8f3b6
mangere,6567945c-419b-4002-a69e-f882a700b328
te_tai_hauāuru,aa2f8780-f7f2-436f-b47d-f6f967c13575
christchurch_central,8fee3e2a-268e-494f-b774-a1e36e65e772
bay_of_plenty,a0fc5860-f5d6-48f4-8ac1-ecda31a1bb06
hutt_south,2547c91a-3a16-4803-8e2b-0d90ca50e046
north_shore,8c674b87-c5e9-4b10-91b0-560f16db2cff
mana,7549b151-6dbc-412c-afc0-50a91e45016b
tāmaki,d6256792-4f9f-4438-a62e-0480707da286
selwyn,feabddae-ef02-4020-ad59-d87480b9449d
te_atatū,8e724b84-5228-4381-9b77-1e149f31b67d
waitaki,0966ea25-9f60-4210-b129-e4519bffcbdd
botany,7a18a302-141e-4cfc-ab22-5f51688879a7
rangitata,41dbffb1-13d9-4a89-b56c-7eba2d3a9708
papakura,91c2a5b6-d3b1-47d3-b9fe-168d747ee844
waikato,5cff6d71-37d9-4321-953c-efc1cf5d5f1f
taupō,96a591ef-04c4-4d7d-92f0-848fff65c843
hauraki-waikato,bf135d18-557f-4a86-b7e1-00c41d973b26
ōtaki,3dc644a5-71ae-413c-95b8-0b68c94f8bfc
hunua,5d8c152e-7c3d-495c-b2bc-be9c10305177
ōhariu,765af207-9527-4469-8f9c-02c3b660ecf1
port_hills,f9192a86-16bf-4364-ab69-57bf9400edee
rangitīkei,7f9b19b5-bd95-45c1-b9d0-de32d0f10c65
waiāriki,ef71256e-0fb0-4037-a817-1794017a3b37
